fecha,distr,prov,dep,week,physical_v,sexual_v,economical_v,psychological_v,first_time,inf,nin,ado,ado_t,jov,adu,m60,family,love,no_rel,aggr_alcohol,aggr_drug,vict_disab,vict_alco,vict_drug,vict_lgtbi
06/15/2018,150136,1501,15.0,76,0,0,0,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
06/14/2018,150136,1501,15.0,76,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
06/18/2018,150136,1501,15.0,77,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
06/04/2018,150136,1501,15.0,75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
06/19/2018,150136,1501,15.0,77,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
06/20/2018,150136,1501,15.0,77,0,1,0,2,1,0,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0
06/22/2018,150136,1501,15.0,77,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
06/26/2018,150136,1501,15.0,78,3,1,0,0,1,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0
06/25/2018,150136,1501,15.0,78,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
06/27/2018,150136,1501,15.0,78,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
06/28/2018,150136,1501,15.0,78,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
07/02/2018,150136,1501,15.0,79,0,0,0,3,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0
07/03/2018,150136,1501,15.0,79,0,1,0,2,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0
07/06/2018,150136,1501,15.0,79,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
07/09/2018,150136,1501,15.0,80,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
07/10/2018,150136,1501,15.0,80,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
07/11/2018,150136,1501,15.0,80,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
07/12/2018,150136,1501,15.0,80,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0
07/17/2018,150136,1501,15.0,81,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
07/18/2018,150136,1501,15.0,81,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
07/13/2018,150136,1501,15.0,80,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
07/19/2018,150136,1501,15.0,81,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
07/20/2018,150136,1501,15.0,81,1,0,0,3,0,0,1,0,0,0,1,2,3,1,0,0,1,0,0,0,0
07/25/2018,150136,1501,15.0,82,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
07/26/2018,150136,1501,15.0,82,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
07/30/2018,150136,1501,15.0,83,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
08/01/2018,150136,1501,15.0,83,3,1,0,2,0,0,2,0,0,1,2,1,4,1,1,0,0,0,0,0,0
08/02/2018,150136,1501,15.0,83,2,1,0,1,0,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0
08/03/2018,150136,1501,15.0,83,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
08/06/2018,150136,1501,15.0,84,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
08/08/2018,150136,1501,15.0,84,1,0,0,3,1,0,0,0,0,1,2,1,1,3,0,1,0,0,0,0,0
08/09/2018,150136,1501,15.0,84,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0
08/15/2018,150136,1501,15.0,85,2,2,0,0,0,0,2,0,0,1,1,0,2,1,1,0,0,0,0,0,0
08/13/2018,150136,1501,15.0,85,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
08/14/2018,150136,1501,15.0,85,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0
08/16/2018,150136,1501,15.0,85,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
08/17/2018,150136,1501,15.0,85,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
08/21/2018,150136,1501,15.0,86,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
08/22/2018,150136,1501,15.0,86,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
08/24/2018,150136,1501,15.0,86,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0
08/23/2018,150136,1501,15.0,86,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08/27/2018,150136,1501,15.0,87,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
08/28/2018,150136,1501,15.0,87,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08/29/2018,150136,1501,15.0,87,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
08/10/2018,150136,1501,15.0,84,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
09/03/2018,150136,1501,15.0,88,0,1,0,2,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0
09/04/2018,150136,1501,15.0,88,0,0,0,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
09/05/2018,150136,1501,15.0,88,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
09/06/2018,150136,1501,15.0,88,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
09/07/2018,150136,1501,15.0,88,1,0,0,2,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,0
09/10/2018,150136,1501,15.0,89,1,0,0,2,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0
09/11/2018,150136,1501,15.0,89,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
09/12/2018,150136,1501,15.0,89,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
09/17/2018,150136,1501,15.0,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
09/18/2018,150136,1501,15.0,90,1,0,0,2,0,0,0,0,0,1,2,0,0,3,0,3,0,0,0,0,0
09/19/2018,150136,1501,15.0,90,1,2,0,1,0,0,1,2,0,0,1,0,3,1,0,1,0,0,0,0,0
09/20/2018,150136,1501,15.0,90,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0
09/24/2018,150136,1501,15.0,91,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0
09/26/2018,150136,1501,15.0,91,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
09/27/2018,150136,1501,15.0,91,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
09/28/2018,150136,1501,15.0,91,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
10/03/2018,150136,1501,15.0,92,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10/01/2018,150136,1501,15.0,92,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10/04/2018,150136,1501,15.0,92,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10/09/2018,150136,1501,15.0,93,0,0,0,3,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0
10/10/2018,150136,1501,15.0,93,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
10/11/2018,150136,1501,15.0,93,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10/17/2018,150136,1501,15.0,94,1,0,0,2,2,0,0,0,0,0,3,0,0,1,2,0,0,2,0,0,0
10/15/2018,150136,1501,15.0,94,1,0,0,2,0,0,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0
10/19/2018,150136,1501,15.0,94,2,0,0,1,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0
10/22/2018,150136,1501,15.0,95,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10/23/2018,150136,1501,15.0,95,2,1,0,0,0,0,2,0,0,0,0,1,2,1,0,1,0,0,0,0,0
10/24/2018,150136,1501,15.0,95,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
10/25/2018,150136,1501,15.0,95,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10/12/2018,150136,1501,15.0,93,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10/31/2018,150136,1501,15.0,96,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
11/02/2018,150136,1501,15.0,96,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
11/06/2018,150136,1501,15.0,97,1,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0
11/07/2018,150136,1501,15.0,97,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
11/08/2018,150136,1501,15.0,97,1,0,0,2,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
11/09/2018,150136,1501,15.0,97,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11/12/2018,150136,1501,15.0,98,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
11/14/2018,150136,1501,15.0,98,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0
11/15/2018,150136,1501,15.0,98,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
11/19/2018,150136,1501,15.0,99,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
11/21/2018,150136,1501,15.0,99,1,0,0,3,0,0,0,0,0,0,3,1,1,2,1,1,0,0,0,0,0
11/22/2018,150136,1501,15.0,99,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
11/26/2018,150136,1501,15.0,100,1,0,0,2,0,0,0,0,0,2,1,0,1,2,0,2,1,0,0,0,0
11/27/2018,150136,1501,15.0,100,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
11/20/2018,150136,1501,15.0,99,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11/28/2018,150136,1501,15.0,100,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
11/29/2018,150136,1501,15.0,100,3,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0
11/30/2018,150136,1501,15.0,100,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/03/2018,150136,1501,15.0,101,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
12/04/2018,150136,1501,15.0,101,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
12/06/2018,150136,1501,15.0,101,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12/07/2018,150136,1501,15.0,101,0,0,0,3,1,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0
12/11/2018,150136,1501,15.0,102,0,1,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0
12/05/2018,150136,1501,15.0,101,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
12/12/2018,150136,1501,15.0,102,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
12/13/2018,150136,1501,15.0,102,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
12/14/2018,150136,1501,15.0,102,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
12/17/2018,150136,1501,15.0,103,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
12/18/2018,150136,1501,15.0,103,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
12/20/2018,150136,1501,15.0,103,3,0,0,0,1,0,0,0,0,1,2,0,1,2,0,0,1,0,0,0,0
12/21/2018,150136,1501,15.0,103,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/27/2018,150136,1501,15.0,104,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
01/04/2018,61201,612,6.0,53,0,0,0,2,1,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0
01/22/2018,61201,612,6.0,56,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0
02/06/2018,61201,612,6.0,58,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0
02/15/2018,61201,612,6.0,59,2,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
02/16/2018,61201,612,6.0,59,0,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
02/23/2018,61201,612,6.0,60,0,0,0,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
02/26/2018,61201,612,6.0,61,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03/02/2018,61201,612,6.0,61,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
03/09/2018,61201,612,6.0,62,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
03/13/2018,61201,612,6.0,63,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03/14/2018,61201,612,6.0,63,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
03/16/2018,61201,612,6.0,63,1,0,0,2,1,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0
03/27/2018,61201,612,6.0,65,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
04/03/2018,61201,612,6.0,66,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
04/04/2018,61201,612,6.0,66,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
04/05/2018,61201,612,6.0,66,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
04/13/2018,61201,612,6.0,67,3,0,0,1,2,0,0,0,0,3,1,0,2,1,1,0,0,0,0,0,0
04/17/2018,61201,612,6.0,68,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
04/20/2018,61201,612,6.0,68,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
04/25/2018,61201,612,6.0,69,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
04/30/2018,61201,612,6.0,70,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
05/07/2018,61201,612,6.0,71,1,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
05/08/2018,61201,612,6.0,71,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
05/15/2018,61201,612,6.0,72,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
05/16/2018,61201,612,6.0,72,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
05/17/2018,61201,612,6.0,72,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
05/18/2018,61201,612,6.0,72,1,0,0,1,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
05/21/2018,61201,612,6.0,73,2,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
05/22/2018,61201,612,6.0,73,1,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
05/28/2018,61201,612,6.0,74,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
05/30/2018,61201,612,6.0,74,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
06/01/2018,61201,612,6.0,74,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
06/05/2018,61201,612,6.0,75,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
06/14/2018,61201,612,6.0,76,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
06/15/2018,61201,612,6.0,76,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
06/18/2018,61201,612,6.0,77,2,0,0,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0
06/19/2018,61201,612,6.0,77,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
06/22/2018,61201,612,6.0,77,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
06/25/2018,61201,612,6.0,78,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
06/27/2018,61201,612,6.0,78,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
06/28/2018,61201,612,6.0,78,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
07/02/2018,61201,612,6.0,79,2,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
07/06/2018,61201,612,6.0,79,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
07/10/2018,61201,612,6.0,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
07/12/2018,61201,612,6.0,80,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
07/16/2018,61201,612,6.0,81,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
07/17/2018,61201,612,6.0,81,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
07/18/2018,61201,612,6.0,81,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
07/23/2018,61201,612,6.0,82,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
08/02/2018,61201,612,6.0,83,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
08/06/2018,61201,612,6.0,84,0,0,0,3,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0
08/07/2018,61201,612,6.0,84,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
08/13/2018,61201,612,6.0,85,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
08/15/2018,61201,612,6.0,85,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
08/17/2018,61201,612,6.0,85,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
08/22/2018,61201,612,6.0,86,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0
08/23/2018,61201,612,6.0,86,0,1,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
08/24/2018,61201,612,6.0,86,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
09/03/2018,61201,612,6.0,88,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
09/05/2018,61201,612,6.0,88,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
09/10/2018,61201,612,6.0,89,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0
09/13/2018,61201,612,6.0,89,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
09/14/2018,61201,612,6.0,89,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
09/18/2018,61201,612,6.0,90,0,0,0,3,2,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0
09/24/2018,61201,612,6.0,91,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
09/25/2018,61201,612,6.0,91,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
09/26/2018,61201,612,6.0,91,0,0,0,4,3,0,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0
09/27/2018,61201,612,6.0,91,0,0,0,2,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
10/02/2018,61201,612,6.0,92,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10/03/2018,61201,612,6.0,92,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0
10/09/2018,61201,612,6.0,93,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
10/15/2018,61201,612,6.0,94,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10/18/2018,61201,612,6.0,94,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
10/26/2018,61201,612,6.0,95,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
11/05/2018,61201,612,6.0,97,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
11/07/2018,61201,612,6.0,97,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11/09/2018,61201,612,6.0,97,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
11/27/2018,61201,612,6.0,100,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11/29/2018,61201,612,6.0,100,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
12/04/2018,61201,612,6.0,101,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12/20/2018,61201,612,6.0,103,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12/28/2018,61201,612,6.0,104,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
01/04/2018,211201,2112,21.0,53,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
01/08/2018,211201,2112,21.0,54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
01/16/2018,211201,2112,21.0,55,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
01/17/2018,211201,2112,21.0,55,0,0,0,4,0,0,1,0,0,0,3,0,1,3,0,2,0,0,0,0,0
01/23/2018,211201,2112,21.0,56,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
01/30/2018,211201,2112,21.0,57,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02/01/2018,211201,2112,21.0,57,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
02/05/2018,211201,2112,21.0,58,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
02/08/2018,211201,2112,21.0,58,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
02/15/2018,211201,2112,21.0,59,1,1,0,2,0,1,0,2,0,0,1,0,3,1,0,0,0,0,0,0,0
02/21/2018,211201,2112,21.0,60,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
02/23/2018,211201,2112,21.0,60,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
03/02/2018,211201,2112,21.0,61,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
03/05/2018,211201,2112,21.0,62,4,0,0,0,0,1,2,0,0,1,0,0,3,1,0,4,0,0,0,0,0
03/06/2018,211201,2112,21.0,62,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
03/12/2018,211201,2112,21.0,63,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
03/13/2018,211201,2112,21.0,63,1,0,0,2,0,0,0,0,1,0,2,0,1,2,0,3,0,0,0,0,0
03/14/2018,211201,2112,21.0,63,2,0,0,1,0,0,1,0,0,1,1,0,1,2,0,2,0,0,0,0,0
03/15/2018,211201,2112,21.0,63,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
03/22/2018,211201,2112,21.0,64,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
03/26/2018,211201,2112,21.0,65,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03/27/2018,211201,2112,21.0,65,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
04/12/2018,211201,2112,21.0,67,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04/18/2018,211201,2112,21.0,68,1,0,0,2,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0
04/19/2018,211201,2112,21.0,68,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
04/23/2018,211201,2112,21.0,69,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
04/25/2018,211201,2112,21.0,69,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
05/02/2018,211201,2112,21.0,70,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0
05/07/2018,211201,2112,21.0,71,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
05/11/2018,211201,2112,21.0,71,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
05/15/2018,211201,2112,21.0,72,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
05/18/2018,211201,2112,21.0,72,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
05/22/2018,211201,2112,21.0,73,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0
05/23/2018,211201,2112,21.0,73,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
05/30/2018,211201,2112,21.0,74,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
06/05/2018,211201,2112,21.0,75,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
06/06/2018,211201,2112,21.0,75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
06/07/2018,211201,2112,21.0,75,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
06/11/2018,211201,2112,21.0,76,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
